,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,Pratiksha Chemicals Ltd.,PRATIKSH,PRATIKSHA CHEMICALS LTD.,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,Esha Media Research Limited,ESHAMEDIA,Esha Media Research Limited,Advertising & Media Agencies,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies,,
,Refex Renewables & Infrastructure Limited,REFEXRENEW,Refex Renewables & Infrastructure Ltd,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,PROGREX VENTURES LIMITED,PROGREXV,Progrex Ventures Ltd,Other Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,,
,V.S.T.Tillers Tractors Ltd.,VSTTILLERS,V.S.T.TILLERS TRACTORS LTD.-$,Tractors,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors,,
,B2B Software Technologies Ltd.,B2BSOFT,B2B SOFTWARE TECHNOLOGIES LTD.,Software Products,Information Technology,Information Technology,IT - Software,Software Products,,
,Nikki Global Finance Ltd.,NIKKIGL,NIKKI GLOBAL FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Radhe Developers (India) ltd.,RADHEDE,RADHE DEVELOPERS (INDIA) LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Kinetic Trust Ltd.,KINETRU,KINETIC TRUST LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Elixir Capital Limited,ELIXIR,Elixir Capital Ltd,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,Trishakti Electronics & industries,TRISHAKT,TRISHAKTI ELECTRONICS & INDUSTRIES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Pankaj Polymers Ltd.,PANKAJPO,PANKAJ POLYMERS LTD.,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,MARBLE CITY INDIA LIMITED,MARBLE,Marble City India Ltd,Other Construction Materials,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,,
,Cindrella Financial Services Ltd.,CINDRELL,CINDRELLA FINANCIAL SERVICES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,National Plastic Technologies Ltd,NATPLASTI,NATIONAL PLASTIC TECHNOLOGIES LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,Lead Financial Services Ltd,LEADFIN,LEAD FINANCIAL SERVICES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,National Fittings Limited,NATFIT,National Fittings Limited,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Artefact Projects Ltd,ARTEFACT,ARTEFACT PROJECTS LTD.,Consulting Services,Services,Services,Commercial Services & Supplies,Consulting Services,,
,Amit International Ltd.,AMITINT,AMIT INTERNATIONAL LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,High Street Filatex Limited,HIGHSTREE,HIGH STREET FILATEX LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Nutech Global Ltd.,NUTECGLOB,NUTECH GLOBAL LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,DHP India Ltd.,DHPIND,DHP INDIA LTD.,Oil Equipment & Services,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services,,
,RRIL LIMITED,RRIL,RRIL Ltd,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Available Finance Ltd.,AVAILFC,AVAILABLE FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Integra Capital Management Ltd.,INTCAPM,INTEGRA CAPITAL MANAGEMENT LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Maruti Securities Ltd.,MARUTISE,MARUTI SECURITIES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,HAVISHA,Sri Havisha Hospitality And Infrastructure Ltd,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,
,JAYATMA INDUSTRIES LIMITED,JAYIND,Jayatma Industries Ltd,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Roselabs Finance Ltd.,ROSELABS,ROSELABS FINANCE LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,Charms Industries Ltd,CHARMS,CHARMS INDUSTRIES LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,KRETTO SYSCON LIMITED,KRETTOSYS,Kretto Syscon Ltd,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Vikalp Securities Ltd.,VIKALPS,VIKALP SECURITIES LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Zydus Wellness Limited,ZYDUSWELL,ZYDUS WELLNESS LTD.-$,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,,
,WinPro Industries Limited,WINPRO,WinPro Industries Ltd,Advertising & Media Agencies,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies,,
,Milestone Global Limited,MILESTONE,MILESTONE GLOBAL LTD.,Other Construction Materials,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,,
,Bervin Investments And Leasing Ltd.,BERVINL,BERVIN INVESTMENT & LEASING LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,"Gujarat Investa Ltd.,",GUJINV,GUJARAT INVESTA LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Container Corporation Of India Ltd.,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,Logistics Solution Provider,Services,Services,Transport Services,Logistics Solution Provider,,
,Eastern Treads Ltd.,EASTRED,EASTERN TREADS LTD.,Tyres & Rubber Products,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,,
,Panacea Biotec Ltd.,PANACEABIO,PANACEA BIOTEC LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Peeti Securities Ltd.,PEETISEC,PEETI SECURITIES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Mercury Metals Limited,MERMETL,MERCURY METALS LTD.,Passenger Cars & Utility Vehicles,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,,
,Choice International Ltd,CHOICEIN,CHOICE INTERNATIONAL LTD.,Holding Company,Financial Services,Financial Services,Finance,Holding Company,,
,Shriram Asset Management Co.Ltd.,SRAMSET,SHRIRAM ASSET MANAGEMENT CO.LTD.,Asset Management Company,Financial Services,Financial Services,Capital Markets,Asset Management Company,,
,Golechha Global Finance Ltd.,GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Ekansh Concepts Limited,EKANSH,Ekansh Concepts Ltd,Consulting Services,Services,Services,Commercial Services & Supplies,Consulting Services,,
,SPARC ELECTREX LIMITED,SPAR,Sparc Electrex Ltd,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,The Byke Hospitality Ltd,THEBYKE,THE BYKE HOSPITALITY LTD.,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,
,Centenial Surgical Suture Ltd.,CSURGSU,CENTENIAL SURGICAL SUTURE LTD.,Medical Equipment & Supplies,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,,
,Arihant Foundations & Housing Ltd.,ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD.-$,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Hasti Finance Ltd.,HASTIFIN,HASTI FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Upsurge Investment And Finance Ltd.,UPSURGE,UPSURGE INVESTMENT & FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Padam Cotton Yarns Ltd.,PADAMCO,PADAM COTTON YARNS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Women Networks Ltd.,WOMENNET,WOMEN NETWORKS LTD.,Software Products,Information Technology,Information Technology,IT - Software,Software Products,,
,Polycon International Ltd.,POLYCON,POLYCON INTERNATIONAL LTD.,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,Source Natural Foods & Herbal Suppl Ltd,SOURCENTRL,SOURCE NATURAL FOODS & HERBAL SUPPL LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,G.G.Automotive Gears Ltd.,GGAUTO,G.G.AUTOMOTIVE GEARS LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Almondz Global Securities Limited,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,,
,LWS Knitwear Ltd,LWSKNIT,LWS KNITWEAR LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,ANS Limited,ANSINDUS,ANS Industries Ltd,Other Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages,,
,Alchemist Corporation Ltd,ALCHCORP,ALCHEMIST CORPORATION LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,Tuni Textile Mills Ltd.,TUNITEX,TUNI TEXTILE MILLS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Radix Industries (India) Limited,RADIXIND,Radix Industries (India) Limited,Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,
,Kiran Print-Pack Ltd.,KIRANPR,KIRAN PRINT-PACK LTD.,Printing & Publication,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication,,
,Narendra Properties Ltd.,NARPROP,NARENDRA PROPERTIES LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Mega Corporation Ltd,MEGACOR,MEGA CORPORATION LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Tamil Nadu Newsprint And Papers Ltd,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,Shakti Pumps (India) Ltd.,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LTD.-$,Compressors- Pumps & Diesel Engines,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",,
,Systematix Securities Ltd.,SYTIXSE,SYSTEMATIX SECURITIES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Saffron Industries Limited,SAFFRON,Saffron Industries Limited,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,Prakash Woollen & Synthetic Mills Ltd,PWASML,Prakash Woollen & Synthetic Mills Ltd,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Goldstone Technologies Ltd.,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Vardhman Concrete Limited,VARDHMAN,Vardhman Concrete Limited,Cement & Cement Products,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,,
,GRM Overseas Ltd.,GRMOVER,GRM OVERSEAS LTD.,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,,
,Mohit Industries Limited,MOHITIND,MOHIT INDUSTRIES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Polylink Polymers (india) Ltd.,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,Petrochemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,,
,Minaxi Textiles Ltd.,MINAXI,MINAXI TEXTILES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Continental Controls Ltd.,CONTICON,CONTINENTAL CONTROLS LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Nouveau Global Ventures Limited,NOUVEAU,NOUVEAU GLOBAL VENTURES LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Duke Offshore Ltd.,DUKEOFS,DUKE OFFSHORE LTD.,Oil Equipment & Services,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services,,
,Cybele Industries Limited,CYBELEIND,CYBELE INDUSTRIES LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Cg-Vak Software & Exports Ltd.,CGVAK,CG-VAK SOFTWARE & EXPORTS LTD.,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,NAVKAR URBANSTRUCTURE LIMITED,NAVKAR,Navkar Urbanstructure Ltd,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Madhucon Projects Ltd.,MADHUCON,MADHUCON PROJECTS LTD.-$,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,Sybly Industries Ltd.,SYBLY,SYBLY INDUSTRIES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Rajesh Exports Ltd.,RAJESHEXPO,RAJESH EXPORTS LTD.,Gems- Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",,
,Esaar (India) Ltd.,ESARIND,ESAAR (INDIA) LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Maris Spinners Ltd.,MARIS,MARIS SPINNERS LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Indergiri Finance ltd.,INDERGR,INDERGIRI FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Shukra Bullions Limited,SKRABUL,SHUKRA BULLIONS LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Eveready Industries India Ltd.,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,,
,Step Two Corporation Ltd.,STEP2COR,STEP TWO CORPORATION LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,Orient Tradelink Ltd.,ORIENTTR,ORIENT TRADELINK LTD.,Film Production- Distribution & Exhibition,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition",,
,Desh Rakshak Aushdhalaya Ltd.,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Ace Software Exports ltd.,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,Software Products,Information Technology,Information Technology,IT - Software,Software Products,,
,Softrak Venture Investments Ltd.,SOFTRAKV,SOFTRAK VENTURE INVESTMENT LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Hatsun Agro Products Ltd.,HATSUN,HATSUN AGRO PRODUCT LTD.,Dairy Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,,
,ACCEDERE LIMITED,ACCEDERE,E.COM INFOTECH (I) LTD.,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Rishabh Digha Steel And Allied Prod,RISHDIGA,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Maruti Infrastructure Ltd.,MAINFRA,MARUTI INFRASTRUCTURE LTD.,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,KOBO BIOTECH LIMITED,KOBO,Kobo Biotech Ltd-$,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,Jindal Worldwide Ltd.,JINDWORLD,JINDAL WORLDWIDE LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Somany Ceramics Limited,SOMANYCERA,SOMANY CERAMICS LTD.,Ceramics,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,,
,Jhaveri Credits & Capital Ltd.,JHACC,JHAVERI CREDITS & CAPITAL LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,Raghunath Tobacco Co. Ltd.,RAGHUTOB,RAGHUNATH TOBACCO CO.LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,DISHA RESOURCES LIMITED,DRL,Disha Resources Ltd,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Coral India Finance And Housing Ltd,CORALFINAC,CORAL INDIA FINANCE & HOUSING LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Sanjivani Paranteral Ltd.,SANJIVIN,SANJIVANI PARANTERAL LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Vas Infrastructure Ltd.,VASINFRA,VAS INFRASTRUCTURE LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,KMF Builders & Developers Ltd.,KMFBLDR,KMF BUILDERS & DEVELOPERS LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Beryl Securities Ltd,BERYLSE,BERYL SECURITIES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Devine Impex Limited,DEVINE,DEVINE IMPEX LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Bampsl Securities Ltd.,BAMPSL,BAMPSL SECURITIES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,GENPHARMASEC LIMITED,GENPHARMA,Genpharmasec Ltd,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Incon Engineers Ltd.,INCON,INCON ENGINEERS LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Capri Global Capital Limited,CGCL,Capri Global Capital Limited,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,FDC Ltd.,FDC,FDC LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Gogia Capital Services Limited,GOGIACAP,Gogia Capital Services Limited,Stockbroking & Allied,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,,
,Gorani Industries Ltd.,GORANIN,GORANI INDUSTRIES LTD.,Houseware,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,,
,KG Petrochem Ltd.,KGPETRO,KG PETROCHEM LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Meyer Apparel Limited,MAL,Meyer Apparel Ltd,Gems- Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",,
,Starcom Information Technology Ltd,STARCOM,Starcom Information Technology Ltd,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Country Condo's Ltd,COUNCODOS,COUNTRY CONDO'S LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Orosil Smiths India Limited,OROSMITHS,OROSIL SMITHS INDIA LTD.-$,Gems- Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",,
,TEJASSVI AAHARAM LIMITED,TEJASSVI,Tejassvi Aaharam Ltd,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Lincoln Pharmaceuticals ltd.,LINCOPH,LINCOLN PHARMACEUTICALS LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Silver Oak (India) Ltd.,SILVOAK,SILVER OAK (INDIA) LTD.,Breweries & Distilleries,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,,
,PRAVEG LIMITED,PRAVEG,Praveg Ltd,Advertising & Media Agencies,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies,,
,Suraj Ltd.,SURAJLTD,SURAJ LTD.-$,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Suvidha Infraestate Corporation Limited,SICL,Suvidha Infraestate Corporation Limited,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Marico Limited,MARICO,MARICO LTD.,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,
,Tokyo Finance Ltd.,TOKYOFIN,TOKYO FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,National General Industries Ltd.,NATGENI,NATIONAL GENERAL INDUSTRIES LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Thirdwave Financial Intermediaries,THIRDFIN,THIRDWAVE FINANCIAL INTERMEDIARIES LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Hittco Tools Ltd.,HITTCO,HITTCO TOOLS LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,RR METALMAKERS INDIA LIMITED,RRMETAL,RR MetalMakers India Ltd,Trading - Metals,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals,,
,Vision Corporation Ltd.,VISIONCO,VISION CORPORATION LTD.,Film Production- Distribution & Exhibition,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition",,
,Bisil Plast Limited,BISIL,Bisil Plast Limited,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,Inani Securities Ltd.,INANISEC,INANI SECURITIES LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,Anka India Ltd.,ANKIN,ANKA INDIA LTD.,Leather And Leather Products,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,,
,Vaghani Techno-Build Limited,VAGHANI,VAGHANI TECHNO-BUILD LTD.,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,,
,Aris International Limited,ARISINT,ARIS INTERNATIONAL LTD.,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Mayur Leather Products Ltd.,MAYUR,MAYUR LEATHER PRODUCTS LTD.,Gems- Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",,
,AMERISE BIOSCIENCES LIMITED,AMERISE,Amerise Biosciences Ltd,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,Prithvi Exchange (India) Limited,PRITHVIEXCH,Prithvi Exchange (India) Ltd,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,Rainbow Foundations Ltd,RAINBOWF,RAINBOW FOUNDATIONS LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,VSD Confin ltd.,VSDCONF,VSD CONFIN LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Tricom Fruit Products Limited,TRICOMFRU,Tricom Fruit Products Limited,Other Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,,
,Vidhi Specialty Food Ingredients Limited,VIDHIING,Vidhi Specialty Food Ingredients Ltd-$,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,Bhagiradha Chemicals and Industries,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LTD.,Pesticides & Agrochemicals,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,,
,Panchsheel Organic Ltd.,PANCHSHEEL,PANCHSHEEL ORGANICS LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Menon Pistons Ltd.,MENNPIS,MENON PISTONS LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Prism Finance Ltd.,PRISMFN,PRISM FINANCE LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,Greencrest Financial Services Limited,GREENCREST,Greencrest Financial Services Limited,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,Gennex Laboratories Ltd,GENNEX,GENNEX LABORATORIES LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Hira Automobiles Ltd.,HIRAUTO,HIRA AUTOMOBILES LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Gini Silk Mills Ltd.,GINISILK,GINI SILK MILLS LTD.-$,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Prajay Engineers Syndicate Ltd.,PRAENG,PRAJAY ENGINEERS SYNDICATE LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,BIOGEN PHARMACHEM INDUSTRIES LIMITED,BIOGEN,Biogen Pharmachem Industries Ltd,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,G.k.Consultants Ltd.,GKCONS,G.K.CONSULTANTS LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,Unjha Formulations Ltd.,UNJHAFOR,UNJHA FORMULATIONS LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Poly Medicure Ltd,POLYMED,POLY MEDICURE LTD.,Medical Equipment & Supplies,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,,
