,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Fertilizers,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,,
,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Other Industrial Products,Industrials,Capital Goods,Industrial Products,Other Industrial Products,,
,EPL LIMITED,EPL,EPL Ltd,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,FGP Ltd,FGP,FGP LTD.,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,Investment Company,Financial Services,Financial Services,Finance,Investment Company,,
,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Cables - Electricals,Industrials,Capital Goods,Industrial Products,Cables - Electricals,,
,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Uflex Limited,UFLEX,UFLEX LTD.,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
